__run_id,__done,run_number,llm,problem_difficulty,problem,prompt_i,power_consumption,cpu_usage
run_625,,r1,GeminiUltra,hard,H-SF,1,,
run_316,,r1,GPT-4o,hard,H-MN,1,,
run_253,,r1,GPT-4o,hard,H-SF,1,,
run_672,,r0,GeminiUltra,hard,H-MN,0,,
run_596,,r2,GeminiUltra,medium,M-GS,2,,
run_922,,r1,Claude,medium,M-GS,1,,
run_349,,r1,GPT-4o,hard,H-MN,1,,
run_1038,,r0,Claude,hard,H-MN,0,,
run_1075,,r1,Claude,hard,H-MN,1,,
run_345,,r0,GPT-4o,hard,H-MN,0,,
run_7,,r1,GPT-4o,easy,E-PN,1,,
run_616,,r1,GeminiUltra,hard,H-SF,1,,
run_541,,r1,GeminiUltra,medium,M-GS,1,,
run_955,,r1,Claude,medium,M-GS,1,,
run_260,,r2,GPT-4o,hard,H-SF,2,,
run_412,,r1,GeminiUltra,easy,E-PN,1,,
run_768,,r0,Claude,easy,E-PN,0,,
run_45,,r0,GPT-4o,easy,E-PN,0,,
run_825,,r0,Claude,easy,E-UE,0,,
run_536,,r2,GeminiUltra,medium,M-CS,2,,
run_44,,r2,GPT-4o,easy,E-PN,2,,
run_732,,r0,Claude,easy,E-PN,0,,
run_336,,r0,GPT-4o,hard,H-MN,0,,
run_819,,r0,Claude,easy,E-UE,0,,
run_607,,r1,GeminiUltra,hard,H-SF,1,,
run_1022,,r2,Claude,hard,H-MN,2,,
